sseqid,sstart,send
LmjF.01,110757,111225
LmjF.01,141593,142596
LmjF.01,256393,256948
LmjF.01,267948,268984
LmjF.02,15,1026
LmjF.02,8266,9282
LmjF.02,136464,136888
LmjF.02,195241,195372
LmjF.02,195408,195824
LmjF.02,335992,337269
LmjF.02,354906,355714
LmjF.03,213138,213939
LmjF.03,241617,242278
LmjF.04,116,1075
LmjF.04,10044,10729
LmjF.04,240981,241161
LmjF.04,241296,241876
LmjF.04,337383,338104
LmjF.04,472598,472856
LmjF.05,147,1360
LmjF.05,104942,105645
LmjF.05,184444,185071
LmjF.05,247108,247902
LmjF.05,360080,360213
LmjF.05,360295,361169
LmjF.05,396905,397755
LmjF.05,444063,444354
LmjF.05,458759,459758
LmjF.05,465266,465823
LmjF.06,1,1015
LmjF.06,1829,2496
LmjF.06,103959,104643
LmjF.06,291192,291581
LmjF.06,451559,452365
LmjF.06,512942,513422
LmjF.07,89,1213
LmjF.07,63928,64549
LmjF.07,380828,381518
LmjF.07,462086,463431
LmjF.07,595964,596348
LmjF.08,1,1035
LmjF.08,265118,265968
LmjF.08,283285,284523
LmjF.08,350685,351923
LmjF.08,490009,490842
LmjF.09,276881,277444
LmjF.09,387081,388080
LmjF.09,405671,406234
LmjF.09,418608,419175
LmjF.09,463708,464081
LmjF.09,464082,465179
LmjF.09,573256,573441
LmjF.10,1,1223
LmjF.10,7985,8904
LmjF.10,132652,133399
LmjF.10,160002,161075
LmjF.10,166575,167343
LmjF.10,172897,173722
LmjF.10,181243,182082
LmjF.10,187424,187675
LmjF.10,191031,192088
LmjF.10,207383,207949
LmjF.10,231331,232292
LmjF.10,232931,234638
LmjF.10,234711,234975
LmjF.10,235187,235856
LmjF.10,356663,357357
LmjF.10,526565,527222
LmjF.10,538905,539690
LmjF.10,561238,561953
LmjF.10,569512,570864
LmjF.11,177,1242
LmjF.11,74771,74956
LmjF.11,75008,76286
LmjF.11,156774,157641
LmjF.11,158025,158941
LmjF.11,163001,163571
LmjF.11,207591,208507
LmjF.11,355906,357243
LmjF.11,357294,357850
LmjF.11,581753,582575
LmjF.12,52940,53197
LmjF.12,182255,182891
LmjF.12,231251,232028
LmjF.12,232450,233111
LmjF.12,270970,271799
LmjF.12,285256,286034
LmjF.12,286455,287116
LmjF.12,291024,291627
LmjF.12,302074,302669
LmjF.12,309996,310745
LmjF.12,328613,329267
LmjF.12,360583,361958
LmjF.12,395982,399202
LmjF.12,412876,415451
LmjF.12,432006,434095
LmjF.12,482920,485150
LmjF.12,512703,514791
LmjF.12,520636,524876
LmjF.12,527930,528913
LmjF.12,553171,553346
LmjF.12,553383,554131
LmjF.12,575479,576121
LmjF.12,613924,614204
LmjF.12,628218,628810
LmjF.12,643538,644263
LmjF.12,665735,666416
LmjF.12,674269,675238
LmjF.13,261415,262100
LmjF.13,563113,563688
LmjF.13,654027,654604
LmjF.14,1,1216
LmjF.14,60277,60855
LmjF.14,264068,265119
LmjF.14,284206,286097
LmjF.14,492117,493148
LmjF.14,579684,581643
LmjF.14,622162,622648
LmjF.15,99,520
LmjF.15,1193,1859
LmjF.15,269294,270173
LmjF.15,287044,287937
LmjF.15,290985,291200
LmjF.15,291212,291937
LmjF.15,323207,323772
LmjF.15,508974,509238
LmjF.15,509279,509626
LmjF.15,583762,584432
LmjF.15,628136,629514
LmjF.16,86,1151
LmjF.16,206464,207097
LmjF.16,269253,269941
LmjF.16,311705,312393
LmjF.16,323240,324806
LmjF.16,371212,372052
LmjF.16,374108,374912
LmjF.16,398663,399888
LmjF.16,407233,407954
LmjF.16,424204,425005
LmjF.16,431150,431411
LmjF.16,452748,453440
LmjF.16,462612,463161
LmjF.16,504751,505300
LmjF.16,572981,573535
LmjF.16,573621,574894
LmjF.16,574899,575502
LmjF.16,622494,623195
LmjF.16,624917,625540
LmjF.16,625714,625901
LmjF.16,626697,627460
LmjF.16,630526,631049
LmjF.16,631074,631682
LmjF.16,638499,639310
LmjF.16,691608,692377
LmjF.16,711122,712836
LmjF.17,1,3824
LmjF.17,3832,6062
LmjF.17,53955,54118
LmjF.17,54151,54733
LmjF.17,73525,74269
LmjF.17,79254,79998
LmjF.17,84983,85727
LmjF.17,90712,91456
LmjF.17,91669,92401
LmjF.17,100639,101365
LmjF.17,117946,118670
LmjF.17,123835,124579
LmjF.17,150091,150800
LmjF.17,170057,170930
LmjF.17,178384,179108
LmjF.17,185431,186142
LmjF.17,193978,194349
LmjF.17,194363,194930
LmjF.17,238612,239337
LmjF.17,298769,299034
LmjF.17,299107,300413
LmjF.17,311980,312677
LmjF.17,314592,315500
LmjF.17,319564,320201
LmjF.17,325088,325848
LmjF.17,336403,337105
LmjF.17,339014,339737
LmjF.17,339959,340716
LmjF.17,344614,345421
LmjF.17,383865,384772
LmjF.17,418762,418970
LmjF.17,418987,419804
LmjF.17,422254,423051
LmjF.17,451138,451807
LmjF.17,511891,512760
LmjF.17,517195,517929
LmjF.17,519954,520623
LmjF.17,552395,552660
LmjF.17,554248,555584
LmjF.17,565703,565836
LmjF.17,565954,566804
LmjF.17,577055,577753
LmjF.17,581581,582279
LmjF.17,587031,587987
LmjF.17,619309,620277
LmjF.17,630805,631575
LmjF.17,636937,637707
LmjF.17,660800,662178
LmjF.17,665082,665905
LmjF.17,667846,668616
LmjF.17,683924,684831
LmjF.18,58,1123
LmjF.18,17669,18724
LmjF.18,40663,40890
LmjF.18,56847,57609
LmjF.18,65402,65994
LmjF.18,69902,70666
LmjF.18,79412,80569
LmjF.18,95585,96447
LmjF.18,97254,97988
LmjF.18,116941,117713
LmjF.18,126443,127090
LmjF.18,148793,149693
LmjF.18,157366,158046
LmjF.18,163844,164386
LmjF.18,164389,165150
LmjF.18,221074,221848
LmjF.18,230123,230871
LmjF.18,245183,245942
LmjF.18,276284,276993
LmjF.18,277898,278323
LmjF.18,278325,279311
LmjF.18,296903,298229
LmjF.18,392998,393602
LmjF.18,427506,428094
LmjF.18,443817,444248
LmjF.18,447845,448395
LmjF.18,449544,450219
LmjF.18,475421,476123
LmjF.18,476320,476657
LmjF.18,476699,476953
LmjF.18,477248,478178
LmjF.18,489982,490193
LmjF.18,490200,490943
LmjF.18,512585,513177
LmjF.18,554575,555149
LmjF.18,563765,564479
LmjF.18,569949,570625
LmjF.18,577466,578179
LmjF.18,579376,579950
LmjF.18,633231,634110
LmjF.18,644806,645401
LmjF.18,660701,661942
LmjF.18,661981,662382
LmjF.18,662476,663246
LmjF.18,671112,671799
LmjF.18,690542,691180
LmjF.18,702386,703025
LmjF.18,704926,705584
LmjF.18,707800,708556
LmjF.18,722630,723212
LmjF.18,732316,733294
LmjF.18,733843,734566
LmjF.19,1,1025
LmjF.19,533013,533669
LmjF.19,593631,594304
LmjF.19,594308,594831
LmjF.19,594836,595230
LmjF.19,601123,601738
LmjF.19,623678,624293
LmjF.19,653964,654264
LmjF.19,654279,654526
LmjF.19,663617,664138
LmjF.19,664294,664817
LmjF.19,664822,665216
LmjF.19,695612,701090
LmjF.19,706601,706761
LmjF.20,1,1049
LmjF.20,1088,1833
LmjF.20,10615,11373
LmjF.20,25256,26062
LmjF.20,37348,37533
LmjF.20,37581,38156
LmjF.20,45134,45806
LmjF.20,103712,104371
LmjF.20,111492,112373
LmjF.20,120455,121078
LmjF.20,129835,130663
LmjF.20,169768,170490
LmjF.20,205228,205339
LmjF.20,208913,210065
LmjF.20,210686,211970
LmjF.20,242044,242868
LmjF.20,275637,276921
LmjF.20,295525,295807
LmjF.20,295815,297099
LmjF.20,425631,426690
LmjF.20,432026,432671
LmjF.20,451542,452027
LmjF.20,452057,452804
LmjF.20,454077,455563
LmjF.20,461079,461956
LmjF.20,495034,495727
LmjF.20,521651,522229
LmjF.20,526666,527421
LmjF.20,529195,529978
LmjF.20,552356,553162
LmjF.20,559163,559973
LmjF.20,582172,582940
LmjF.20,584217,585005
LmjF.20,649205,649636
LmjF.20,649649,650537
LmjF.20,689836,690906
LmjF.20,690920,691146
LmjF.20,691147,692402
LmjF.20,720081,720223
LmjF.20,720226,721151
LmjF.20,721165,721391
LmjF.20,721392,722646
LmjF.20,726171,727119
LmjF.20,740958,742551
LmjF.21,79,1216
LmjF.21,8579,9578
LmjF.21,273140,273917
LmjF.21,291603,292404
LmjF.21,442477,443046
LmjF.21,511100,511789
LmjF.21,532592,533371
LmjF.21,540396,541060
LmjF.21,560016,560836
LmjF.21,565393,566235
LmjF.21,568717,569487
LmjF.21,572263,573031
LmjF.21,579324,579966
LmjF.21,580054,580922
LmjF.21,623379,624029
LmjF.21,640210,640692
LmjF.21,640966,641885
LmjF.21,666693,666927
LmjF.21,666938,668367
LmjF.21,675815,676061
LmjF.21,676070,676710
LmjF.21,699784,700679
LmjF.21,712870,713634
LmjF.21,748848,749309
LmjF.22,1,1418
LmjF.22,36425,37079
LmjF.22,387432,387800
LmjF.22,672794,673411
LmjF.22,694018,695017
LmjF.22,715800,716396
LmjF.23,1,1000
LmjF.23,85857,86049
LmjF.23,99825,100017
LmjF.23,202269,202866
LmjF.23,205068,205677
LmjF.23,205894,206687
LmjF.23,229265,229982
LmjF.23,238209,238560
LmjF.23,238708,240664
LmjF.23,241871,242846
LmjF.23,258088,258874
LmjF.23,292134,293131
LmjF.23,297827,298161
LmjF.23,298309,299078
LmjF.23,323592,324896
LmjF.23,335780,336699
LmjF.23,342245,343038
LmjF.23,363881,364563
LmjF.23,367989,368722
LmjF.23,396975,397556
LmjF.23,411988,412770
LmjF.23,427950,428636
LmjF.23,432966,433652
LmjF.23,465094,466221
LmjF.23,532749,533441
LmjF.23,539789,540461
LmjF.23,544539,545314
LmjF.23,554325,555189
LmjF.23,558073,558555
LmjF.23,562576,563352
LmjF.23,567493,568219
LmjF.23,601734,602452
LmjF.23,655038,655766
LmjF.23,659160,659693
LmjF.23,681900,682561
LmjF.23,685661,686419
LmjF.23,718469,719341
LmjF.23,733428,734300
LmjF.23,735849,737074
LmjF.23,758659,759675
LmjF.23,767179,767824
LmjF.23,769681,772562
LmjF.24,44,1043
LmjF.24,203549,204795
LmjF.24,470172,470841
LmjF.24,612932,613411
LmjF.24,614204,615730
LmjF.25,1,1669
LmjF.25,8014,8301
LmjF.25,30011,31010
LmjF.25,36783,37070
LmjF.25,89018,89305
LmjF.25,108673,109661
LmjF.25,149255,151117
LmjF.25,383046,384273
LmjF.25,460324,461419
LmjF.25,902460,903269
LmjF.25,911345,912849
LmjF.26,1,1393
LmjF.26,113098,113956
LmjF.26,511036,511720
LmjF.26,571063,572062
LmjF.26,605718,606460
LmjF.26,747397,748151
LmjF.26,822880,823539
LmjF.26,833424,834429
LmjF.26,1035619,1035803
LmjF.26,1091042,1091324
LmjF.26,1091373,1091579
LmjF.27,59241,59681
LmjF.27,60079,60816
LmjF.27,270430,271410
LmjF.27,293021,294274
LmjF.27,321736,322713
LmjF.27,632067,633008
LmjF.27,664606,665080
LmjF.27,746525,747387
LmjF.27,749427,750156
LmjF.27,754313,755669
LmjF.27,909678,909782
LmjF.27,909913,911536
LmjF.28,1,1121
LmjF.28,30378,31235
LmjF.28,60196,61031
LmjF.28,61048,61684
LmjF.28,77918,78353
LmjF.28,78834,79104
LmjF.28,105544,106183
LmjF.28,110897,111580
LmjF.28,114601,115258
LmjF.28,118039,118772
LmjF.28,129700,130273
LmjF.28,134484,135345
LmjF.28,168549,169215
LmjF.28,273292,274084
LmjF.28,302355,303056
LmjF.28,359345,359758
LmjF.28,405234,406204
LmjF.28,408155,408924
LmjF.28,419757,420445
LmjF.28,431393,432243
LmjF.28,503544,504094
LmjF.28,507623,508235
LmjF.28,513109,513901
LmjF.28,513954,514872
LmjF.28,517146,517483
LmjF.28,518095,518776
LmjF.28,522488,523169
LmjF.28,530299,530401
LmjF.28,530413,531051
LmjF.28,536244,536527
LmjF.28,536535,537098
LmjF.28,577996,578808
LmjF.28,589024,589887
LmjF.28,598534,599389
LmjF.28,648495,649397
LmjF.28,724790,725362
LmjF.28,748920,749589
LmjF.28,758555,760245
LmjF.28,766546,767276
LmjF.28,781060,781808
LmjF.28,785290,787103
LmjF.28,790345,790997
LmjF.28,814627,815445
LmjF.28,822678,823295
LmjF.28,828240,828919
LmjF.28,833050,833439
LmjF.28,833529,834315
LmjF.28,874594,875287
LmjF.28,928918,929682
LmjF.28,969528,970264
LmjF.28,973713,974445
LmjF.28,989416,990148
LmjF.28,1081334,1082081
LmjF.28,1102235,1103293
LmjF.28,1119397,1120127
LmjF.28,1142053,1142765
LmjF.28,1152974,1153766
LmjF.29,36316,37131
LmjF.29,55962,57836
LmjF.29,84589,85314
LmjF.29,93900,94751
LmjF.29,102399,103019
LmjF.29,133901,134481
LmjF.29,145140,145840
LmjF.29,154679,155299
LmjF.29,207235,207529
LmjF.29,207601,207912
LmjF.29,267363,268064
LmjF.29,283053,283940
LmjF.29,303057,304477
LmjF.29,316467,316778
LmjF.29,318908,319443
LmjF.29,319506,320130
LmjF.29,326192,327048
LmjF.29,332121,332962
LmjF.29,342308,342566
LmjF.29,357320,358026
LmjF.29,360470,361192
LmjF.29,369312,370034
LmjF.29,380871,381593
LmjF.29,392288,393951
LmjF.29,393996,395018
LmjF.29,452293,453188
LmjF.29,513262,513870
LmjF.29,531055,531836
LmjF.29,558477,559066
LmjF.29,559309,560265
LmjF.29,569397,569533
LmjF.29,637351,637663
LmjF.29,653537,653829
LmjF.29,653911,654309
LmjF.29,709571,709868
LmjF.29,825998,826339
LmjF.29,828804,828950
LmjF.29,847677,848350
LmjF.29,849032,849373
LmjF.29,1004843,1005013
LmjF.29,1015017,1015861
LmjF.29,1095988,1096172
LmjF.29,1096184,1097872
LmjF.29,1177581,1177990
LmjF.29,1181458,1183524
LmjF.29,1212134,1212278
LmjF.29,1212286,1212674
LmjF.30,152,1551
LmjF.30,26206,27246
LmjF.30,290203,290832
LmjF.30,319061,319690
LmjF.30,509903,510499
LmjF.30,569672,571354
LmjF.30,781191,781625
LmjF.30,825680,826005
LmjF.30,826020,826703
LmjF.30,905069,905223
LmjF.30,1085394,1086402
LmjF.30,1170134,1170942
LmjF.30,1177543,1178252
LmjF.30,1275793,1276473
LmjF.30,1292404,1293051
LmjF.30,1320968,1321745
LmjF.30,1383808,1384616
LmjF.30,1398977,1403454
LmjF.31,1,1059
LmjF.31,148458,149705
LmjF.31,154762,155656
LmjF.31,155942,156056
LmjF.31,156081,157025
LmjF.31,298827,299159
LmjF.31,759220,759993
LmjF.31,763228,764933
LmjF.31,822619,823352
LmjF.31,842965,844404
LmjF.31,860372,861773
LmjF.31,996136,996730
LmjF.31,1129089,1129480
LmjF.31,1209349,1210243
LmjF.31,1301541,1302761
LmjF.31,1376205,1376792
LmjF.31,1475657,1476448
LmjF.31,1483666,1484336
LmjF.32,1,597
LmjF.32,666,3655
LmjF.32,173130,173753
LmjF.32,180336,180987
LmjF.32,197450,198124
LmjF.32,401998,403579
LmjF.32,495042,496442
LmjF.32,774198,774996
LmjF.32,775026,775605
LmjF.32,818971,819784
LmjF.32,969564,970292
LmjF.32,1086415,1087023
LmjF.32,1229034,1229569
LmjF.32,1229638,1230737
LmjF.32,1560127,1565925
LmjF.33,1,1006
LmjF.33,94800,95407
LmjF.33,95468,96806
LmjF.33,587364,588188
LmjF.33,663761,664607
LmjF.33,831494,832093
LmjF.33,899587,901262
LmjF.33,901307,902290
LmjF.33,1039354,1039788
LmjF.33,1312543,1313161
LmjF.33,1330697,1331315
LmjF.33,1451279,1451597
LmjF.33,1583227,1583673
