Sequence ID: LmjF04_01_20050601_V5.2, Length: 472856
Sequence ID: LmjF05_01_20050601_V5.2, Length: 465823
Sequence ID: LmjF24_01_20050601_V5.2, Length: 840950
Sequence ID: LmjF01_01_20050601_V5.2, Length: 268984
Sequence ID: LmjF03_01_20050601_V5.2, Length: 384518
Sequence ID: LmjF13_01_20050601_V5.2, Length: 654604
Sequence ID: LmjF14_01_20050601_V5.2, Length: 622648
Sequence ID: LmjF19_01_20050601_V5.2, Length: 702212
Sequence ID: LmjF21_01_20050601_V5.2, Length: 772974
Sequence ID: LmjF23_01_20050601_V5.2, Length: 772567
Sequence ID: LmjF10_01_20050601_V5.2, Length: 570864
Sequence ID: LmjF11_01_20050601_V5.2, Length: 582575
Sequence ID: LmjF15_01_20050601_V5.2, Length: 629514
Sequence ID: LmjF18_01_20050601_V5.2, Length: 739751
Sequence ID: LmjF02_01_20050601_V5.2, Length: 355714
Sequence ID: LmjF25_01_20050601_V5.2, Length: 912849
Sequence ID: LmjF27_01_20050601_V5.2, Length: 1130447
Sequence ID: LmjF28_01_20050601_V5.2, Length: 1160128
Sequence ID: LmjF29_01_20050601_V5.2, Length: 1212674
Sequence ID: LmjF30_01_20050601_V5.2, Length: 1403454
Sequence ID: LmjF31_01_20050601_V5.2, Length: 1484336
Sequence ID: LmjF32_01_20050601_V5.2, Length: 1565925
Sequence ID: LmjF33_01_20050601_V5.2, Length: 1583673
Sequence ID: LmjF34_01_20050601_V5.2, Length: 1866754
Sequence ID: LmjF35_01_20050601_V5.2, Length: 2090491
Sequence ID: LmjF36_01_20050601_V5.2, Length: 2682183
Sequence ID: LmjF07_01_20050601_V5.2, Length: 596348
Sequence ID: LmjF08_01_20050601_V5.2, Length: 574972
Sequence ID: LmjF09_01_20050601_V5.2, Length: 573441
Sequence ID: LmjF06_01_20050601_V5.2, Length: 516874
Sequence ID: LmjF12_01_20050601_V5.2, Length: 675347
Sequence ID: LmjF16_01_20050601_V5.2, Length: 714659
Sequence ID: LmjF17_01_20050601_V5.2, Length: 684831
Sequence ID: LmjF20_01_20050601_V5.2, Length: 742551
Sequence ID: LmjF22_01_20050601_V5.2, Length: 716608
Sequence ID: LmjF26_01_20050601_V5.2, Length: 1091579
