sseqid,sstart,send
LmjF.01,141577,142596
LmjF.01,256393,256948
LmjF.01,267966,268984
LmjF.02,2,1010
LmjF.02,8708,9282
LmjF.02,136464,137155
LmjF.02,195408,196095
LmjF.02,335991,337198
LmjF.02,354923,355714
LmjF.04,430,1084
LmjF.04,240838,241161
LmjF.04,241296,241876
LmjF.04,337126,338071
LmjF.04,472598,472856
LmjF.05,1,1360
LmjF.05,184444,185071
LmjF.05,360080,360213
LmjF.05,360261,360906
LmjF.05,396711,397755
LmjF.05,444068,444354
LmjF.05,458777,459776
LmjF.05,465266,465823
LmjF.06,1,1033
LmjF.06,1842,2496
LmjF.06,291207,291919
LmjF.06,451472,452365
LmjF.06,512942,513422
LmjF.07,89,1213
LmjF.07,63928,64531
LmjF.07,380828,381500
LmjF.07,462039,463505
LmjF.07,595216,596348
LmjF.08,198,1404
LmjF.08,265102,265968
LmjF.08,283251,284865
LmjF.08,350651,352265
LmjF.08,490203,490921
LmjF.09,276881,277444
LmjF.09,405671,406234
LmjF.09,418608,419175
LmjF.09,463708,465250
LmjF.09,573256,573441
LmjF.10,1,1292
LmjF.10,132652,133399
LmjF.10,165731,167343
LmjF.10,172054,173722
LmjF.10,190868,192088
LmjF.10,231327,232246
LmjF.10,232939,234177
LmjF.10,234358,235856
LmjF.10,569512,570864
LmjF.11,171,1398
LmjF.11,74745,75689
LmjF.11,156774,157349
LmjF.11,158597,158941
LmjF.11,163001,163570
LmjF.11,208163,208507
LmjF.11,355906,356501
LmjF.11,356541,357243
LmjF.11,357280,357695
LmjF.11,381620,382185
LmjF.11,581753,582575
LmjF.12,182259,182907
LmjF.12,231251,232028
LmjF.12,270962,271713
LmjF.12,285257,286034
LmjF.12,286199,287018
LmjF.12,291008,291690
LmjF.12,302074,302726
LmjF.12,310001,310639
LmjF.12,360242,360796
LmjF.12,360838,361958
LmjF.12,395942,396666
LmjF.12,412836,413560
LmjF.12,431966,432690
LmjF.12,482880,483604
LmjF.12,512663,513387
LmjF.12,520596,521320
LmjF.12,527890,528614
LmjF.12,553026,554116
LmjF.12,575452,576049
LmjF.12,665736,666341
LmjF.12,674269,675238
LmjF.13,77481,78612
LmjF.13,261486,262100
LmjF.13,654027,654604
LmjF.14,1,1234
LmjF.14,60277,60855
LmjF.14,284206,286106
LmjF.14,492107,493148
LmjF.14,580216,581824
LmjF.14,622162,622648
LmjF.15,99,520
LmjF.15,1196,1859
LmjF.15,269494,270174
LmjF.15,291212,291880
LmjF.15,323208,323879
LmjF.15,508974,509238
LmjF.15,583762,584423
LmjF.15,628136,629514
LmjF.16,1,1313
LmjF.16,172959,173094
LmjF.16,206512,207189
LmjF.16,269253,269852
LmjF.16,311705,312304
LmjF.16,323173,324806
LmjF.16,371212,372043
LmjF.16,374329,374911
LmjF.16,399118,399983
LmjF.16,407233,407919
LmjF.16,424293,425004
LmjF.16,431150,431407
LmjF.16,452748,453417
LmjF.16,573001,573533
LmjF.16,573627,573912
LmjF.16,573937,574539
LmjF.16,622494,623195
LmjF.16,624917,625901
LmjF.16,626697,627392
LmjF.16,630400,630889
LmjF.16,638470,639226
LmjF.16,691608,692363
LmjF.16,711551,712836
LmjF.17,492,3824
LmjF.17,3832,6071
LmjF.17,53956,54737
LmjF.17,91611,92391
LmjF.17,117945,118654
LmjF.17,150090,150799
LmjF.17,170158,170888
LmjF.17,178384,179092
LmjF.17,185431,186280
LmjF.17,238612,239321
LmjF.17,298804,300413
LmjF.17,311809,312725
LmjF.17,314607,315516
LmjF.17,319568,320179
LmjF.17,325090,325848
LmjF.17,336355,337033
LmjF.17,338857,339757
LmjF.17,339837,340736
LmjF.17,344614,345413
