sseqid,sstart,send
LmjF.01,84222,84332
LmjF.01,84341,84909
LmjF.01,141577,142596
LmjF.01,256393,256948
LmjF.01,260139,260969
LmjF.01,267966,268984
LmjF.02,2,1010
LmjF.02,8708,9282
LmjF.02,73802,74487
LmjF.02,98348,99073
LmjF.02,117988,118713
LmjF.02,122096,122821
LmjF.02,136464,137155
LmjF.02,195241,195372
LmjF.02,195408,196095
LmjF.02,335685,335788
LmjF.02,335991,337198
LmjF.02,352975,353635
LmjF.02,353663,354313
LmjF.02,354923,355714
LmjF.03,363575,364341
LmjF.04,430,1084
LmjF.04,4366,4935
LmjF.04,10044,10679
LmjF.04,104278,105495
LmjF.04,107259,108040
LmjF.04,208450,209036
LmjF.04,240838,241161
LmjF.04,241296,241876
LmjF.04,337126,338071
LmjF.04,472598,472856
LmjF.05,1,1360
LmjF.05,66495,67104
LmjF.05,104942,105549
LmjF.05,184444,185071
LmjF.05,360080,360213
LmjF.05,360261,360906
LmjF.05,396711,397755
LmjF.05,444068,444354
LmjF.05,458777,459776
LmjF.05,465266,465823
LmjF.06,1,1033
LmjF.06,1842,2496
LmjF.06,103968,104868
LmjF.06,124509,125149
LmjF.06,291207,291919
LmjF.06,451472,452365
LmjF.06,512373,512866
LmjF.06,512942,513422
LmjF.07,89,1213
LmjF.07,63928,64531
LmjF.07,210875,211876
LmjF.07,301513,302136
LmjF.07,302322,303321
LmjF.07,339090,339196
LmjF.07,380578,380700
LmjF.07,380828,381500
LmjF.07,462039,463505
LmjF.07,595216,596348
LmjF.08,198,1404
LmjF.08,44303,44856
LmjF.08,78539,79126
LmjF.08,85818,86371
LmjF.08,265102,265968
LmjF.08,278235,278791
LmjF.08,283251,284865
LmjF.08,284918,285939
LmjF.08,286089,286700
LmjF.08,286836,287142
LmjF.08,287191,287442
LmjF.08,287816,288407
LmjF.08,289812,291818
LmjF.08,291968,292579
LmjF.08,292715,293021
LmjF.08,293070,293321
LmjF.08,293695,294286
LmjF.08,295695,297705
LmjF.08,297855,298466
LmjF.08,298602,298908
LmjF.08,298957,299208
LmjF.08,299582,300173
LmjF.08,301583,303589
LmjF.08,303739,304350
LmjF.08,304486,305077
LmjF.08,305451,306042
LmjF.08,307452,309455
LmjF.08,309605,310216
LmjF.08,310352,310697
LmjF.08,310707,310959
LmjF.08,311337,311929
LmjF.08,313335,315341
LmjF.08,315491,316105
LmjF.08,316241,316831
LmjF.08,317205,317796
LmjF.08,319206,321209
LmjF.08,321359,321970
LmjF.08,322106,322412
LmjF.08,322461,322712
LmjF.08,323086,323677
LmjF.08,325082,327088
LmjF.08,327238,327849
LmjF.08,327985,328576
LmjF.08,328950,329541
LmjF.08,330951,332954
LmjF.08,333104,333715
LmjF.08,333851,334157
LmjF.08,334206,334457
LmjF.08,334831,335422
LmjF.08,336827,338830
LmjF.08,338980,339591
LmjF.08,339727,340318
LmjF.08,340692,341285
LmjF.08,342690,344700
LmjF.08,344850,345461
LmjF.08,345597,346188
LmjF.08,346562,347153
LmjF.08,348562,350342
LmjF.08,350651,352265
LmjF.08,354713,355328
LmjF.08,357488,358182
LmjF.08,360227,360477
LmjF.08,360719,360864
LmjF.08,361000,361613
LmjF.08,361832,362844
LmjF.08,364388,364507
LmjF.08,364611,364770
LmjF.08,364826,365295
LmjF.08,365537,365682
LmjF.08,365818,366430
LmjF.08,366643,366885
LmjF.08,367055,367664
LmjF.08,369208,369327
LmjF.08,369431,369590
LmjF.08,369644,370113
LmjF.08,370355,370500
LmjF.08,370636,371247
LmjF.08,371286,372480
LmjF.08,374024,374143
LmjF.08,374247,374406
LmjF.08,374462,374931
LmjF.08,375173,375318
LmjF.08,375454,376067
LmjF.08,376286,377297
LmjF.08,378841,378960
LmjF.08,379064,379223
LmjF.08,379279,379746
LmjF.08,379988,380133
LmjF.08,380269,380882
LmjF.08,381101,382113
LmjF.08,383657,383776
LmjF.08,383880,384039
LmjF.08,384095,384564
LmjF.08,384806,384951
LmjF.08,385087,385698
LmjF.08,385911,386931
LmjF.08,388475,388594
LmjF.08,388698,388857
LmjF.08,388913,389378
LmjF.08,389623,390224
LmjF.08,400550,401107
LmjF.08,490203,490921
LmjF.08,534824,535416
LmjF.08,539488,540567
LmjF.08,557633,558225
LmjF.09,276881,277444
LmjF.09,405671,406234
LmjF.09,418608,419175
LmjF.09,463708,465250
LmjF.09,573256,573441
LmjF.10,1,1292
LmjF.10,8250,8902
LmjF.10,31287,31404
LmjF.10,132652,133399
LmjF.10,156481,157197
LmjF.10,159458,161074
LmjF.10,165731,167343
LmjF.10,172054,173722
LmjF.10,180400,182082
LmjF.10,186581,188549
LmjF.10,190868,192088
LmjF.10,207364,207936
LmjF.10,231327,232246
